model,bound_state,n_bound,relaxation_multiples_c,gamma,mean_error_fraction_after_c,mean_progress_fraction_after_c,prob_SOS_dwell_survives_c_relaxations,mean_residual_fraction_at_unbinding,mean_completed_fraction_at_unbinding
Model1,GTP,2,2.0,45.0,0.1353352832366127,0.8646647167633873,0.9565287391030293,0.021739130434782608,0.9782608695652174
Model1,GTP,2,3.0,45.0,0.049787068367863944,0.950212931632136,0.9355069850316178,0.021739130434782608,0.9782608695652174
Model1,GTP,2,5.0,45.0,0.006737946999085467,0.9932620530009145,0.8948393168143698,0.021739130434782608,0.9782608695652174
Model1,GTP,3,1.0,65.0,0.36787944117144233,0.6321205588285577,0.9847331232494916,0.015151515151515152,0.9848484848484849
Model1,GTP,3,2.0,65.0,0.1353352832366127,0.8646647167633873,0.9696993240246984,0.015151515151515152,0.9848484848484849
Model1,GTP,3,3.0,65.0,0.049787068367863944,0.950212931632136,0.9548950439597621,0.015151515151515152,0.9848484848484849
Model1,GTP,3,5.0,65.0,0.006737946999085467,0.9932620530009145,0.925961078642316,0.015151515151515152,0.9848484848484849
Model1,GTP,4,1.0,85.0,0.36787944117144233,0.6321205588285577,0.9883042276773919,0.011627906976744186,0.9883720930232558
Model1,GTP,4,2.0,85.0,0.1353352832366127,0.8646647167633873,0.9767452464450059,0.011627906976744186,0.9883720930232558
Model1,GTP,4,3.0,85.0,0.049787068367863944,0.950212931632136,0.9653214564253954,0.011627906976744186,0.9883720930232558
Model1,GTP,4,5.0,85.0,0.006737946999085467,0.9932620530009145,0.942873143854875,0.011627906976744186,0.9883720930232558
Model1,GTP,5,1.0,105.00000000000001,0.36787944117144233,0.6321205588285577,0.9905213983193211,0.009433962264150941,0.9905660377358491
Model1,GTP,5,2.0,105.00000000000001,0.1353352832366127,0.8646647167633873,0.9811326405284632,0.009433962264150941,0.9905660377358491
Model1,GTP,5,3.0,105.00000000000001,0.049787068367863944,0.950212931632136,0.9718328750329811,0.009433962264150941,0.9905660377358491
Model1,GTP,5,5.0,105.00000000000001,0.006737946999085467,0.9932620530009145,0.9534969548334767,0.009433962264150941,0.9905660377358491
Model2,GDP,1,1.0,7.000000000000001,0.36787944117144233,0.6321205588285577,0.8668778997501816,0.125,0.8750000000000001
Model2,GDP,1,2.0,7.000000000000001,0.1353352832366127,0.8646647167633873,0.751477293075286,0.125,0.8750000000000001
Model2,GDP,1,3.0,7.000000000000001,0.049787068367863944,0.950212931632136,0.6514390575310557,0.125,0.8750000000000001
Model2,GDP,1,5.0,7.000000000000001,0.006737946999085467,0.9932620530009145,0.48954165955695317,0.125,0.8750000000000001
Model2,GDP,2,1.0,9.0,0.36787944117144233,0.6321205588285577,0.8948393168143698,0.1,0.9
Model2,GDP,2,2.0,9.0,0.1353352832366127,0.8646647167633873,0.8007374029168081,0.1,0.9
Model2,GDP,2,3.0,9.0,0.049787068367863944,0.950212931632136,0.7165313105737893,0.1,0.9
Model2,GDP,2,5.0,9.0,0.006737946999085467,0.9932620530009145,0.5737534207374327,0.1,0.9
Model2,GDP,3,1.0,11.0,0.36787944117144233,0.6321205588285577,0.9131007162822623,0.08333333333333333,0.9166666666666666
Model2,GDP,3,2.0,11.0,0.1353352832366127,0.8646647167633873,0.8337529180751806,0.08333333333333333,0.9166666666666666
Model2,GDP,3,3.0,11.0,0.049787068367863944,0.950212931632136,0.7613003866968737,0.08333333333333333,0.9166666666666666
Model2,GDP,3,5.0,11.0,0.006737946999085467,0.9932620530009145,0.6347364189402819,0.08333333333333333,0.9166666666666666
Model2,GDP,4,1.0,13.0,0.36787944117144233,0.6321205588285577,0.925961078642316,0.07142857142857142,0.9285714285714286
Model2,GDP,4,2.0,13.0,0.1353352832366127,0.8646647167633873,0.8574039191604412,0.07142857142857142,0.9285714285714286
Model2,GDP,4,3.0,13.0,0.049787068367863944,0.950212931632136,0.7939226578179512,0.07142857142857142,0.9285714285714286
Model2,GDP,4,5.0,13.0,0.006737946999085467,0.9932620530009145,0.6807123983233854,0.07142857142857142,0.9285714285714286
Model2,GDP,5,1.0,15.000000000000002,0.36787944117144233,0.6321205588285577,0.9355069850316178,0.0625,0.9375000000000001
Model2,GDP,5,2.0,15.000000000000002,0.1353352832366127,0.8646647167633873,0.8751733190429475,0.0625,0.9375000000000001
Model2,GDP,5,3.0,15.000000000000002,0.049787068367863944,0.950212931632136,0.8187307530779818,0.0625,0.9375000000000001
Model2,GDP,5,5.0,15.000000000000002,0.006737946999085467,0.9932620530009145,0.7165313105737893,0.0625,0.9375000000000001
Model2,GTP,1,1.0,70.0,0.36787944117144233,0.6321205588285577,0.9858158423524046,0.014084507042253521,0.9859154929577465
Model2,GTP,1,2.0,70.0,0.1353352832366127,0.8646647167633873,0.9718328750329811,0.014084507042253521,0.9859154929577465
Model2,GTP,1,3.0,70.0,0.049787068367863944,0.950212931632136,0.9580482443263975,0.014084507042253521,0.9859154929577465
Model2,GTP,1,5.0,70.0,0.006737946999085467,0.9932620530009145,0.9310627797040227,0.014084507042253521,0.9859154929577465
Model2,GTP,2,1.0,90.0,0.36787944117144233,0.6321205588285577,0.9889503892939223,0.01098901098901099,0.989010989010989
Model2,GTP,2,2.0,90.0,0.1353352832366127,0.8646647167633873,0.9780228724846005,0.01098901098901099,0.989010989010989
Model2,GTP,2,3.0,90.0,0.049787068367863944,0.950212931632136,0.9672161004820059,0.01098901098901099,0.989010989010989
Model2,GTP,2,5.0,90.0,0.006737946999085467,0.9932620530009145,0.9459594689067654,0.01098901098901099,0.989010989010989
Model2,GTP,3,1.0,110.0,0.36787944117144233,0.6321205588285577,0.9909502882880793,0.009009009009009009,0.990990990990991
Model2,GTP,3,2.0,110.0,0.1353352832366127,0.8646647167633873,0.9819824738582275,0.009009009009009009,0.990990990990991
Model2,GTP,3,3.0,110.0,0.049787068367863944,0.950212931632136,0.9730958155636518,0.009009009009009009,0.990990990990991
Model2,GTP,3,5.0,110.0,0.006737946999085467,0.9932620530009145,0.9555630362682842,0.009009009009009009,0.990990990990991
Model2,GTP,4,1.0,130.0,0.36787944117144233,0.6321205588285577,0.9923372023911486,0.007633587786259542,0.9923664122137404
Model2,GTP,4,2.0,130.0,0.1353352832366127,0.8646647167633873,0.9847331232494916,0.007633587786259542,0.9923664122137404
Model2,GTP,4,3.0,130.0,0.049787068367863944,0.950212931632136,0.9771873126272987,0.007633587786259542,0.9923664122137404
Model2,GTP,4,5.0,130.0,0.006737946999085467,0.9932620530009145,0.9622687143632572,0.007633587786259542,0.9923664122137404
Model2,GTP,5,1.0,150.00000000000003,0.36787944117144233,0.6321205588285577,0.9933555062550344,0.00662251655629139,0.9933774834437086
Model2,GTP,5,2.0,150.00000000000003,0.1353352832366127,0.8646647167633873,0.9867551618071957,0.00662251655629139,0.9933774834437086
Model2,GTP,5,3.0,150.00000000000003,0.049787068367863944,0.950212931632136,0.9801986733067553,0.00662251655629139,0.9933774834437086
Model2,GTP,5,5.0,150.00000000000003,0.006737946999085467,0.9932620530009145,0.9672161004820059,0.00662251655629139,0.9933774834437086
